,Unnamed: 0,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Hotel Name
583,583,Wahiawa,US,21.5028,-158.0236,79.12,66,100,8.05,overcast clouds,The Inn At Schofield
586,586,Catuday,PH,16.2923,119.8062,82.26,69,100,14.54,overcast clouds,Benjie's Kubo & Cottages
592,592,Praia,CV,14.9215,-23.5087,73.94,68,20,16.11,few clouds,LT Aparthotel
593,593,Gat,IL,31.61,34.7642,70.81,41,99,12.41,overcast clouds,OlusHome
599,599,Kaya,BF,13.0917,-1.0844,73.92,17,73,9.08,broken clouds,Maison de l'appelé
600,600,Mahanoro,MG,-19.9,48.8,72.37,95,10,7.9,clear sky,BUNGALOW MAHAMANINA
606,606,Davila,PH,18.4726,120.5763,84.76,66,24,8.16,few clouds,Blue Ridge Beach Resort
608,608,Namibe,AO,-15.1961,12.1522,72.21,77,100,7.61,overcast clouds,Hotel Chik Chik Namibe
612,612,Tarakan,ID,3.3,117.6333,78.3,89,100,3.44,overcast clouds,RedDoorz Syariah near Taman Berlabuh Tarakan
617,617,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,78.26,79,90,2.44,overcast clouds,Hotel GSA
618,618,Ternate,ID,0.8,127.4,83.89,74,80,1.74,broken clouds,Sahid Bela Ternate Hotel
619,619,San Felipe,VE,10.3399,-68.7425,72.97,94,87,3.89,overcast clouds,Posada Llovizna Rodríguez
621,621,Mandapam,IN,9.2833,79.1167,77.79,66,59,5.35,broken clouds,Tanvi Chachaa Chalet
622,622,Mirador,BR,-6.3708,-44.3631,73.74,79,100,2.37,overcast clouds,Pousada Restaurante e Pizzaria Povo
623,623,Saquena,PE,-4.6667,-73.5167,80.35,78,100,2.64,overcast clouds,
625,625,Palmerston,AU,-12.486,130.9833,93.88,58,75,8.05,broken clouds,Quest Palmerston - Serviced Apartments and Accommodation
626,626,Zirandaro,MX,18.45,-100.9833,80.31,62,40,2.55,scattered clouds,El Naranjo
631,631,Saint-Louis,SN,16.3333,-15.0,76.03,14,4,10.0,clear sky,
633,633,Bafoulabe,ML,13.8065,-10.8321,79.45,20,100,2.24,overcast clouds,Logement du Chargé SIS Abdoul Karim Konaté
634,634,Nyangao,TZ,-10.3333,39.2833,73.18,91,71,3.74,broken clouds,MLIMANI LODGE & STATIONERY
637,637,Puri,IN,19.8,85.85,72.12,53,7,10.0,clear sky,OYO 1577 Hotel Shree Hari Grand
638,638,Ducheng,CN,23.2373,111.5317,81.23,56,15,6.78,few clouds,Xinyongguang Hotel
640,640,Kayes,ML,14.0,-11.0,79.29,19,100,4.38,overcast clouds,
645,645,Merauke,ID,-8.4667,140.3333,79.93,81,100,9.26,moderate rain,
650,650,Paciran,ID,-6.8767,112.3761,83.39,68,100,5.3,overcast clouds,Tanjung Kodok Beach Resort
654,654,Biak,ID,-0.9131,122.8766,79.99,75,100,1.5,overcast clouds,Penginapan Kim
660,660,Ewa Beach,US,21.3156,-158.0072,82.35,60,0,12.66,clear sky,Base Lodging
667,667,Yulara,AU,-25.2406,130.9889,79.72,20,100,16.02,overcast clouds,Desert Gardens Hotel - Ayers Rock Resort
670,670,Ixtapa,MX,20.7,-105.2,76.23,73,75,3.44,broken clouds,hotel la terminal
671,671,Wewak,PG,-3.5534,143.6268,84.02,72,98,4.38,overcast clouds,In Wewak Boutique Hotel
672,672,Sola,VU,-13.8833,167.55,82.56,72,13,8.66,few clouds,Leumerus Bungalows
673,673,Si Sa Ket,TH,14.8333,104.3333,82.87,79,100,8.99,overcast clouds,ร้านค้า อัญชัน
679,679,Boromo,BF,11.75,-2.9333,73.71,22,25,6.2,scattered clouds,Sama Camp
684,684,Batangafo,CF,7.3008,18.2833,70.47,35,33,3.4,scattered clouds,OCHA Office
686,686,Timbauba,BR,-7.5053,-35.3183,72.99,82,97,4.32,overcast clouds,Alane’s house
