,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
77,Maine-Soroa,NE,13.2114,12.0241,68.54,20,8,9.28,clear sky
78,Deputatskiy,RU,69.3,139.9,-22.76,92,87,1.5,overcast clouds
79,Yumen,CN,40.2833,97.2,39.45,24,100,7.29,overcast clouds
80,Bredasdorp,ZA,-34.5322,20.0403,55.11,88,3,1.12,clear sky
81,Barrow,US,71.2906,-156.7887,23.02,74,100,17.27,light snow
82,Fortuna,US,40.5982,-124.1573,49.12,85,0,0.0,clear sky
83,Castro,BR,-24.7911,-50.0119,60.98,97,33,9.51,scattered clouds
84,Huanan,CN,46.2167,130.5167,28.6,40,57,15.37,broken clouds
85,Avarua,CK,-21.2078,-159.775,77.05,57,75,10.36,broken clouds
86,Kenderes,HU,47.25,20.6833,34.0,81,100,5.79,overcast clouds
87,Ailigandi,PA,9.2333,-78.0167,78.89,88,100,5.53,overcast clouds
88,Portland,US,45.5234,-122.6762,44.62,57,0,11.5,clear sky
89,Hobart,AU,-42.8794,147.3294,51.26,73,75,4.0,light rain
90,Sorong,ID,-0.8833,131.25,84.52,71,100,6.31,overcast clouds
91,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,18.19,68,75,6.71,broken clouds
92,Upernavik,GL,72.7868,-56.1549,9.81,98,100,16.69,overcast clouds
93,Ostersund,SE,63.1792,14.6357,18.05,100,100,4.61,overcast clouds
94,Jamestown,US,42.097,-79.2353,21.72,75,100,11.5,overcast clouds
95,Chabahar,IR,25.2919,60.643,76.32,71,24,2.98,few clouds
96,Port Hope,US,43.9408,-82.7127,21.27,68,86,5.75,overcast clouds
97,Constantine,DZ,36.365,6.6147,47.61,76,75,10.36,broken clouds
98,Khasan,RU,42.4308,130.6434,40.33,77,100,14.18,overcast clouds
99,Hami,CN,42.8,93.45,38.34,40,8,2.51,clear sky
100,Katsuura,JP,35.1333,140.3,55.42,92,100,14.99,moderate rain
101,San Buenaventura,MX,27.0833,-101.5333,43.48,78,100,3.29,overcast clouds
102,Pauini,BR,-7.7136,-66.9764,81.1,71,76,2.44,broken clouds
103,Road Town,VG,18.4167,-64.6167,78.89,100,40,4.61,scattered clouds
104,Lata,PT,40.1629,-8.3327,61.07,97,100,9.28,overcast clouds
105,Ipu,BR,-4.3222,-40.7108,78.64,72,69,4.79,broken clouds
106,Kondagaon,IN,19.6,81.6667,62.56,57,100,4.21,overcast clouds
107,Hithadhoo,MV,-0.6,73.0833,80.69,75,21,7.96,few clouds
108,Rabo De Peixe,PT,37.8,-25.5833,66.27,97,75,11.5,broken clouds
109,Lovozero,RU,68.005,35.0117,14.77,85,14,1.32,few clouds
110,Luderitz,NA,-26.6481,15.1594,63.01,68,100,14.03,overcast clouds
111,Fort William,GB,56.8165,-5.1121,39.85,91,94,3.89,overcast clouds
112,Ayr,GB,55.4627,-4.6339,36.32,100,99,6.91,overcast clouds
113,San Cristobal,VE,7.7669,-72.225,69.98,98,100,2.01,overcast clouds
114,Santa Ines,BR,-3.6667,-45.38,75.79,87,43,0.72,scattered clouds
115,Port Alfred,ZA,-33.5906,26.891,60.75,81,0,4.45,clear sky
116,Hasaki,JP,35.7333,140.8333,57.6,94,100,6.91,light rain
117,Oranjestad,AW,12.524,-70.027,82.35,77,20,14.97,few clouds
118,East London,ZA,-33.0153,27.9116,60.69,80,1,7.96,clear sky
119,Longyearbyen,SJ,78.2186,15.6401,39.04,87,75,24.16,broken clouds
120,Zhanaozen,KZ,43.3,52.8,45.93,94,99,0.6,overcast clouds
121,Saint-Philippe,RE,-21.3585,55.7679,71.19,75,5,9.4,clear sky
122,Mabaruma,GY,8.2,-59.7833,72.25,99,92,2.62,overcast clouds
123,Asau,RO,46.4333,26.4,31.28,100,100,2.42,overcast clouds
124,Urazovo,RU,50.0836,38.0395,34.99,100,100,9.13,snow
125,Shingu,JP,33.7333,135.9833,65.16,82,77,4.9,broken clouds
126,San Patricio,US,28.017,-97.5169,52.84,59,100,7.23,overcast clouds
127,Cidreira,BR,-30.1811,-50.2056,69.98,86,22,25.41,few clouds
128,Tias,ES,28.9611,-13.645,64.08,77,0,12.66,clear sky
129,Black River,JM,18.0264,-77.8487,77.16,80,73,2.8,broken clouds
130,Ilo,PE,-17.6394,-71.3375,65.14,83,59,1.77,broken clouds
131,Mataura,NZ,-46.1927,168.8643,72.09,45,100,4.07,light rain
132,Tual,ID,-5.6667,132.75,84.74,73,100,9.66,overcast clouds
133,Meulaboh,ID,4.1363,96.1285,77.04,88,100,4.18,overcast clouds
134,Lalmohan,BD,22.3384,90.7419,74.73,67,100,9.31,overcast clouds
