City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Verkhnyaya Inta,RU,2022-11-14 00:18:19,65.9811,60.3094,13.26,96,100,1.68
68,Mae Hong Son,TH,2022-11-14 00:18:21,19.3003,97.9685,66.34,100,75,0.0
69,Vihari,PK,2022-11-14 00:18:22,30.0333,72.35,68.29,38,84,8.63
70,Bredasdorp,ZA,2022-11-14 00:18:22,-34.5322,20.0403,56.93,89,14,2.08
71,Hilo,US,2022-11-14 00:14:41,19.7297,-155.09,81.1,72,40,9.22
72,Korla,CN,2022-11-14 00:18:23,41.7597,86.1469,31.78,63,0,1.28
73,Sheboygan,US,2022-11-14 00:16:46,43.7333,-87.9334,31.98,57,100,0.0
74,Muros,ES,2022-11-14 00:18:24,42.7762,-9.0603,54.84,93,91,11.48
75,Ribeira Grande,PT,2022-11-14 00:18:25,38.5167,-28.7,66.78,88,100,15.99
76,Port Alfred,ZA,2022-11-14 00:18:25,-33.5906,26.891,60.39,86,2,9.82
77,Clyde River,CA,2022-11-14 00:18:26,70.4692,-68.5914,-0.17,78,100,12.66
78,Pittsburg,US,2022-11-14 00:14:56,38.028,-121.8847,64.42,35,0,5.75
79,Aloleng,PH,2022-11-14 00:18:27,16.1307,119.7824,81.88,76,28,11.27
80,Ohangaron,UZ,2022-11-14 00:18:27,40.9064,69.6383,39.34,55,64,2.15
81,Mae Sot,TH,2022-11-14 00:18:28,16.7167,98.5667,73.42,94,20,0.0
82,Butaritari,KI,2022-11-14 00:18:29,3.0707,172.7902,80.31,73,91,12.35
83,Punta Arenas,CL,2022-11-14 00:18:29,-53.15,-70.9167,55.51,54,75,3.44
84,Torbay,CA,2022-11-14 00:15:59,47.6666,-52.7314,36.28,88,75,4.61
85,Barrow,US,2022-11-14 00:18:30,71.2906,-156.7887,21.22,58,100,6.91
86,Anori,BR,2022-11-14 00:18:30,-3.7728,-61.6442,82.0,66,93,1.99
87,Panama City,PA,2022-11-14 00:14:32,8.9936,-79.5197,79.38,86,99,4.97
88,Mackay,AU,2022-11-14 00:18:31,-21.15,149.2,85.68,64,93,9.64
89,Luena,AO,2022-11-14 00:18:31,-11.7833,19.9167,64.04,87,67,3.31
90,Thompson,CA,2022-11-14 00:18:32,55.7435,-97.8558,6.96,92,20,2.3
91,Hobart,AU,2022-11-14 00:17:05,-42.8794,147.3294,57.25,95,75,12.66
92,Mahibadhoo,MV,2022-11-14 00:19:32,3.7833,72.9667,78.46,85,99,17.85
93,Coquimbo,CL,2022-11-14 00:19:33,-29.9533,-71.3436,58.73,82,0,9.22
